-0.121097 -95.055183,51.386580 -90.553768,76.710130 69.589502,25.690978 83.227286,-25.908450 86.694311,-76.761321 100.378599,-51.535698 -99.565600,17.093286 -63.944979,68.364138 -55.970434,59.900058 108.755107,8.487477 114.417345,-43.018454 118.299949,-84.444447 -105.090735,-34.474538 -67.510225,34.275595 -32.603294,84.430819 4.876455,42.842482 141.625446,-8.726873 145.502771,-60.019052 151.179640,-68.450340 -44.165222,-17.324364 -36.166085,51.386580 -0.553768,76.710130 159.589502,25.690978 173.227286,-25.908450 176.694311,-76.761321 -169.621401,-51.535698 -9.565600,-0.121097 -5.055183,68.364138 34.029566,59.900058 -161.244893,8.487477 -155.582655,-43.018454 -151.700051,-84.444447 -15.090735,-34.474538 22.489775,17.093286 26.055021,84.430819 94.876455,42.842482 -128.374554,-8.726873 -124.497229,-60.019052 -118.820360,-68.450340 45.834778,-17.324364 53.833915,34.275595 57.396706
19.917105 -95.128788,71.124103 -85.881962,57.109165 78.019122,5.661265 83.216562,-45.817915 87.263856,-82.104429 -123.250990,-31.664485 -98.639906,37.090337 -63.716318,86.131255 1.295056,40.032165 110.558642,-11.550654 114.304772,-62.794396 120.564233,-65.690251 -74.390973,-14.502994 -67.355506,54.185536 -31.453086,73.993375 130.972222,22.869512 142.059522,-28.722941 145.537210,-79.420749 163.147958,-48.742717 -40.518873,2.705113 -36.258607,71.124103 4.118038,57.109165 168.019122,5.661265 173.216562,-45.817915 177.263856,-82.104429 -33.250990,-31.664485 -8.639906,19.917105 -5.128788,86.131255 91.295056,40.032165 -159.441358,-11.550654 -155.695228,-62.794396 -149.435767,-65.690251 15.609027,-14.502994 22.644494,37.090337 26.283682,73.993375 -139.027778,22.869512 -127.940478,-28.722941 -124.462790,-79.420749 -106.852042,-48.742717 49.481127,2.705113 53.741393,54.185536 58.546914
21.737117 -95.123854,72.895351 -84.820381,55.307544 78.259940,3.839094 83.205896,-47.621171 87.379078,-80.466533 -118.430634,-29.851599 -98.611637,38.903958 -63.658793,86.403029 28.893088,38.219102 110.621969,-13.370628 114.298754,-64.580353 121.012787,-63.906183 -73.894438,-12.683325 -67.360444,55.988167 -31.232606,72.227295 132.188557,21.049798 142.066475,-30.536388 145.562031,-81.092428 166.979233,-46.940279 -40.393285,4.527284 -36.269606,72.895351 5.179619,55.307544 168.259940,3.839094 173.205896,-47.621171 177.379078,-80.466533 -28.430634,-29.851599 -8.611637,21.737117 -5.123854,86.403029 118.893088,38.219102 -159.378031,-13.370628 -155.701246,-64.580353 -148.987213,-63.906183 16.105562,-12.683325 22.639556,38.903958 26.341207,72.227295 -137.811443,21.049798 -127.933525,-30.536388 -124.437969,-81.092428 -103.020767,-46.940279 49.606715,4.527284 53.730394,55.988167 58.767394
23.556641 -95.115602,74.657797 -83.494616,53.504327 78.469013,2.016933 83.194739,-49.423102 87.511385,-78.779114 -115.066439,-28.037818 -98.588796,40.716672 -63.591736,85.825085 54.307852,36.405151 110.676169,-15.190103 114.294525,-66.363179 121.541660,-62.119165 -73.472163,-10.863175 -67.367065,57.789146 -30.978417,70.453322 133.169160,19.229615 142.070254,-32.348926 145.592510,-82.703268 172.577700,-45.136538 -40.283959,6.349446 -36.280026,74.657797 6.505384,53.504327 168.469013,2.016933 173.194739,-49.423102 177.511385,-78.779114 -25.066439,-28.037818 -8.588796,23.556641 -5.115602,85.825085 144.307852,36.405151 -159.323831,-15.190103 -155.705475,-66.363179 -148.458340,-62.119165 16.527837,-10.863175 22.632935,40.716672 26.408264,70.453322 -136.830840,19.229615 -127.929746,-32.348926 -124.407490,-82.703268 -97.422300,-45.136538 49.716041,6.349446 53.719974,57.789146 59.021583
25.375632 -95.103625,76.408187 -81.804004,51.699644 78.650868,0.194835 83.183321,-51.223641 87.663227,-77.061393 -112.610938,-26.223182 -98.570821,42.528433 -63.513968,84.666825 71.101612,34.590354 110.722222,-17.009030 114.292374,-68.142286 122.170386,-60.329591 -73.110764,-9.042593 -67.375103,59.588296 -30.684493,68.673300 133.972206,17.409009 142.071222,-34.160517 145.629300,-84.202570 -178.754455,-43.331552 -40.188945,8.171544 -36.289631,76.408187 8.195996,51.699644 168.650868,0.194835 173.183321,-51.223641 177.663227,-77.061393 -22.610938,-26.223182 -8.570821,25.375632 -5.103625,84.666825 161.101612,34.590354 -159.277778,-17.009030 -155.707626,-68.142286 -147.829614,-60.329591 16.889236,-9.042593 22.624897,42.528433 26.486032,68.673300 -136.027794,17.409009 -127.928778,-34.160517 -124.370700,-84.202570 -88.754455,-43.331552 49.811055,8.171544 53.710369,59.588296 59.315507
27.194043 -95.087478,78.141363 -79.591331,49.893602 78.809229,-1.627147 83.171872,-53.022707 87.837520,-75.323864 -110.753991,-24.407731 -98.557205,44.339189 -63.424131,83.219315 81.314094,32.774756 110.760988,-18.827363 114.292605,-69.916869 122.925278,-58.537763 -72.799863,-7.221629 -67.384302,61.385399 -30.343315,66.888504 134.638355,15.588029 142.069713,-35.971121 145.673136,-85.478219 -164.623742,-41.525370 -40.106577,9.993527 -36.298178,78.141363 10.408669,49.893602 168.809229,-1.627147 173.171872,-53.022707 177.837520,-75.323864 -20.753991,-24.407731 -8.557205,27.194043 -5.087478,83.219315 171.314094,32.774756 -159.239012,-18.827363 -155.707395,-69.916869 -147.074722,-58.537763 17.200137,-7.221629 22.615698,44.339189 26.575869,66.888504 -135.361645,15.588029 -127.930287,-35.971121 -124.326864,-85.478219 -74.623742,-41.525370 49.893423,9.993527 53.701822,61.385399 59.656685
29.011830 -95.066674,79.848690 -76.598955,48.086294 78.947188,-3.448959 83.160619,-54.820205 88.037767,-73.572664 -109.309681,-22.591506 -98.547486,46.148888 -63.320649,81.631231 87.769806,30.958401 110.793231,-20.645056 114.295549,-71.685802 123.842615,-56.743912 -72.531284,-5.400336 -67.394414,63.180174 -29.945379,65.099839 135.196838,13.766725 142.066042,-37.780700 145.724846,-86.291925 -142.129627,-39.718039 -40.035418,11.815342 -36.305414,79.848690 13.401045,48.086294 168.947188,-3.448959 173.160619,-54.820205 178.037767,-73.572664 -19.309681,-22.591506 -8.547486,29.011830 -5.066674,81.631231 177.769806,30.958401 -159.206769,-20.645056 -155.704451,-71.685802 -146.157385,-56.743912 17.468716,-5.400336 22.605586,46.148888 26.679351,65.099839 -134.803162,13.766725 -127.933958,-37.780700 -124.275154,-86.291925 -52.129627,-39.718039 49.964582,11.815342 53.694586,63.180174 60.054621
30.828949 -95.040670,81.514741 -72.380728,46.277795 79.067336,-5.270549 83.149791,-56.616020 88.268209,-71.811593 -108.160787,-20.774549 -98.541244,47.957468 -63.201683,79.969014 92.100520,29.141331 110.819627,-22.462063 114.301558,-73.447470 124.973762,-54.948223 -72.298505,-3.578764 -67.405203,64.972259 -29.478500,63.307963 135.669185,11.945147 142.060501,-39.589215 145.785370,-86.323120 -114.037812,-37.909601 -39.974228,13.636938 -36.311078,81.514741 17.619272,46.277795 169.067336,-5.270549 173.149791,-56.616020 178.268209,-71.811593 -18.160787,-20.774549 -8.541244,30.828949 -5.040670,79.969014 -177.899480,29.141331 -159.180373,-22.462063 -155.698442,-73.447470 -145.026238,-54.948223 17.701495,-3.578764 22.594797,47.957468 26.798317,63.307963 -134.330815,11.945147 -127.939499,-39.589215 -124.214630,-86.323120 -24.037812,-37.909601 50.025772,13.636938 53.688922,64.972259 60.521500
32.645357 -95.008865,83.109710 -66.118269,44.468175 79.171857,-7.091864 83.139623,-58.410007 88.534038,-70.043117 -107.230135,-18.956904 -98.538094,49.764864 -63.065074,78.264006 95.162447,27.323590 110.840784,-24.278341 114.311016,-75.199480 126.393739,-53.150841 -72.096257,-1.756966 -67.416433,66.761172 -28.926793,61.513366 136.071592,10.123346 142.053367,-41.396627 145.855779,-85.555300 -90.923417,-36.100096 -39.921922,15.458263 -36.314892,83.109710 23.881731,44.468175 169.171857,-7.091864 173.139623,-58.410007 178.534038,-70.043117 -17.230135,-18.956904 -8.538094,32.645357 -5.008865,78.264006 -174.837553,27.323590 -159.159216,-24.278341 -155.688984,-75.199480 -143.606261,-53.150841 17.903743,-1.756966 22.583567,49.764864 26.934926,61.513366 -133.928408,10.123346 -127.946633,-41.396627 -124.144221,-85.555300 -0.923417,-36.100096 50.078078,15.458263 53.685108,66.761172 61.073207
34.461010 -94.970588,84.570785 -56.252454,42.657492 79.262611,-8.912852 83.130351,-60.201986 88.841676,-68.268894 -106.465011,-17.138616 -98.537680,51.570998 -62.908262,76.532331 97.420574,25.505222 110.857245,-26.093849 114.324340,-76.938150 128.216172,-51.351883 -71.920238,0.065005 -67.427876,68.546270 -28.269175,59.716419 136.416473,8.301374 142.044906,-43.202892 145.937304,-84.302789 -76.280589,-34.289564 -39.877554,17.279267 -36.316565,84.570785 33.747546,42.657492 169.262611,-8.912852 173.130351,-60.201986 178.841676,-68.268894 -16.465011,-17.138616 -8.537680,34.461010 -4.970588,76.532331 -172.579426,25.505222 -159.142755,-26.093849 -155.675660,-76.938150 -141.783828,-51.351883 18.079762,0.065005 22.572124,51.570998 27.091738,59.716419 -133.583527,8.301374 -127.955094,-43.202892 -124.062696,-84.302789 13.719411,-34.289564 50.122446,17.279267 53.683435,68.546270 61.730825
36.275865 -94.925082,85.757495 -40.037463,40.845801 79.341192,-10.733463 83.122222,-61.991730 89.199162,-66.490080 -105.828262,-15.319729 -98.539672,53.375782 -62.728196,74.782967 99.142315,23.686271 110.869504,-27.908545 114.341988,-78.657561 130.620685,-49.551446 -71.766898,1.887097 -67.439303,70.326669 -27.477067,57.917406 136.713495,6.479282 142.035368,-45.007965 146.031364,-82.814644 -67.318258,-32.478043 -39.840287,19.099901 -36.315785,85.757495 49.962537,40.845801 169.341192,-10.733463 173.122222,-61.991730 179.199162,-66.490080 -15.828262,-15.319729 -8.539672,36.275865 -4.925082,74.782967 -170.857685,23.686271 -159.130496,-27.908545 -155.658012,-78.657561 -139.379315,-49.551446 18.233102,1.887097 22.560697,53.375782 27.271804,57.917406 -133.286505,6.479282 -127.964632,-45.007965 -123.968636,-82.814644 22.681742,-32.478043 50.159713,19.099901 53.684215,70.326669 62.522933
38.089878 -94.871493,86.388561 -15.164645,39.033153 79.408971,-12.553646 83.115491,-63.778942 89.616698,-64.707497 -105.292986,-13.500292 -98.543763,55.179108 -62.521202,73.021256 100.490243,21.866783 110.878008,-29.722388 114.364464,-80.347634 133.905770,-47.749612 -71.633286,3.709255 -67.450487,72.101126 -26.510787,56.116552 136.970301,4.657123 142.024998,-46.811796 146.139609,-81.209622 -61.554145,-30.665571 -39.809381,20.920117 -36.312217,86.388561 74.835355,39.033153 169.408971,-12.553646 173.115491,-63.778942 179.616698,-64.707497 -15.292986,-13.500292 -8.543763,38.089878 -4.871493,73.021256 -169.509757,21.866783 -159.121992,-29.722388 -155.635536,-80.347634 -136.094230,-47.749612 18.366714,3.709255 22.549513,55.179108 27.478798,56.116552 -133.029699,4.657123 -127.975002,-46.811796 -123.860391,-81.209622 28.445855,-30.665571 50.190619,20.920117 53.687783,72.101126 63.489213
39.903006 -94.808851,86.178109 12.680291,37.219595 79.467140,-14.373351 83.110424,-65.563236 90.107418,-62.921748 -104.839246,-11.680351 -98.549662,56.980847 -62.282816,71.250554 101.568120,20.046805 110.883166,-31.535339 114.392327,-81.990007 138.596155,-45.946448 -71.516919,5.531428 -67.461195,73.867846 -25.313687,54.314034 137.193010,2.834951 142.014033,-48.614329 146.263967,-79.541266 -57.624744,-28.852187 -39.784176,22.739865 -36.305503,86.178109 102.680291,37.219595 169.467140,-14.373351 173.110424,-65.563236 -179.892582,-62.921748 -14.839246,-11.680351 -8.549662,39.903006 -4.808851,71.250554 -168.431880,20.046805 -159.116834,-31.535339 -155.607673,-81.990007 -131.403845,-45.946448 18.483081,5.531428 22.538805,56.980847 27.717184,54.314034 -132.806990,2.834951 -127.985967,-48.614329 -123.736033,-79.541266 32.375256,-28.852187 50.215824,22.739865 53.694497,73.867846 64.686313
41.715201 -94.736049,85.236380 33.394510,35.405172 79.516737,-16.192530 83.107303,-67.344097 90.688525,-61.133280 -104.451960,-9.859957 -98.557097,58.780842 -62.007561,69.473062 102.444978,18.226382 110.885353,-33.347359 114.426198,-83.548379 145.666601,-44.142015 -71.415703,7.353561 -67.471196,75.624148 -23.802225,52.509994 137.386579,1.012818 142.002704,-50.415502 146.406709,-77.835472 -54.810255,-27.037930 -39.764083,24.559101 -36.295250,85.236380 123.394510,35.405172 169.516737,-16.192530 173.107303,-67.344097 -179.311475,-61.133280 -14.451960,-9.859957 -8.557097,41.715201 -4.736049,69.473062 -167.555022,18.226382 -159.114647,-33.347359 -155.573802,-83.548379 -124.333399,-44.142015 18.584297,7.353561 22.528804,58.780842 27.992439,52.509994 -132.613421,1.012818 -127.997296,-50.415502 -123.593291,-77.835472 35.189745,-27.037930 50.235917,24.559101 53.704750,75.624148 66.197775
43.526414 -94.651811,83.892719 46.148101,33.589929 79.558674,-18.011136 83.106425,-69.120828 91.382977,-59.342431 -104.119517,-8.039158 -98.565805,60.578895 -61.688640,67.690278 103.168392,16.405565 110.884916,-35.158411 114.466774,-84.944699 156.965296,-42.336364 -71.327848,9.175602 -67.480248,77.365863 -21.848412,50.704550 137.555071,-0.809223 141.991241,-52.215240 146.570528,-76.105880 -52.713286,-25.222840 -39.748570,26.377778 -36.281033,83.892719 136.148101,33.589929 169.558674,-18.011136 173.106425,-69.120828 -178.617023,-59.342431 -14.119517,-8.039158 -8.565805,43.526414 -4.651811,67.690278 -166.831608,16.405565 -159.115084,-35.158411 -155.533226,-84.944699 -113.034704,-42.336364 18.672152,9.175602 22.519752,60.578895 28.311360,50.704550 -132.444929,-0.809223 -128.008759,-52.215240 -123.429472,-76.105880 37.286714,-25.222840 50.251430,26.377778 53.718967,77.365863 68.151588
45.336594 -94.554664,82.356140 54.022303,31.773908 79.593757,-19.829121 83.108109,-70.892463 92.222085,-57.549463 -103.832833,-6.218007 -98.575538,62.374755 -61.317513,65.903256 103.772153,14.584400 110.882178,-36.968455 114.514840,-86.005469 175.470902,-40.529544 -71.251821,10.997499 -67.488105,79.086187 -19.247169,48.897800 137.701841,-2.631117 141.979871,-54.013455 146.758647,-74.360239 -51.101459,-23.406957 -39.737155,28.195851 -36.262384,82.356140 144.022303,31.773908 169.593757,-19.829121 173.108109,-70.892463 -177.777915,-57.549463 -13.832833,-6.218007 -8.575538,45.336594 -4.554664,65.903256 -166.227847,14.584400 -159.117822,-36.968455 -155.485160,-86.005469 -94.529098,-40.529544 18.748179,10.997499 22.511895,62.374755 28.682487,48.897800 -132.298159,-2.631117 -128.020129,-54.013455 -123.241353,-74.360239 38.898541,-23.406957 50.262845,28.195851 53.737616,79.086187 70.752831
47.145685 -94.442896,80.721904 59.166397,29.957154 79.622699,-21.646441 83.112697,-72.657634 93.249634,-55.754579 -103.584701,-4.396553 -98.586052,64.168099 -60.883300,64.112752 104.280890,12.762939 110.877441,-38.777453 114.571283,-86.419074 -157.865521,-38.721597 -71.186298,12.819199 -67.494508,80.773339 -15.652312,47.089827 137.829692,-4.452813 141.968824,-55.810042 146.974954,-72.603231 -49.831416,-21.590323 -39.729402,30.013275 -36.238784,80.721904 149.166397,29.957154 169.622699,-21.646441 173.112697,-72.657634 -176.750366,-55.754579 -13.584701,-4.396553 -8.586052,47.145685 -4.442896,64.112752 -165.719110,12.762939 -159.122559,-38.777453 -155.428717,-86.419074 -67.865521,-38.721597 18.813702,12.819199 22.505492,64.168099 29.116700,47.089827 -132.170308,-4.452813 -128.031176,-55.810042 -123.025046,-72.603231 40.168584,-21.590323 50.270598,30.013275 53.761216,80.773339 74.347688
48.953621 -94.314498,79.033472 62.723200,28.139709 79.646137,-23.463052 83.120557,-74.414342 94.528651,-53.957941 -103.369331,-2.574850 -98.597113,65.958504 -60.371930,62.319325 104.712962,10.941232 110.870989,-40.585365 114.637112,-85.980548 -131.380857,-36.912567 -71.130129,14.640652 -67.499188,82.405373 -10.444787,45.280703 137.940980,-6.274258 141.958330,-57.604869 147.224183,-70.837834 -48.810508,-19.772982 -39.724910,31.830008 -36.209663,79.033472 152.723200,28.139709 169.646137,-23.463052 173.120557,-74.414342 -175.471349,-53.957941 -13.369331,-2.574850 -8.597113,48.953621 -4.314498,62.319325 -165.287038,10.941232 -159.129011,-40.585365 -155.362888,-85.980548 -41.380857,-36.912567 18.869871,14.640652 22.500812,65.958504 29.628070,45.280703 -132.059020,-6.274258 -128.041670,-57.604869 -122.775817,-70.837834 41.189492,-19.772982 50.275090,31.830008 53.790337,82.405373 79.555213
50.760332 -94.167102,77.312345 65.300228,26.321617 79.664642,-25.278911 83.132091,-76.159570 96.152980,-52.159677 -103.182017,-0.752950 -98.608488,67.745408 -59.764881,60.523393 105.082328,9.119330 110.863091,-42.392150 114.713483,-84.905344 -113.142492,-35.102491 -71.082307,16.461806 -67.501859,83.937811 -2.458647,43.470490 138.037703,-8.095400 141.948626,-59.397775 147.512164,-69.066024 -47.976445,-17.954977 -39.723310,33.646005 -36.174379,77.312345 155.300228,26.321617 169.664642,-25.278911 173.132091,-76.159570 -173.847020,-52.159677 -13.182017,-0.752950 -8.608488,50.760332 -4.167102,60.523393 -164.917672,9.119330 -159.136909,-42.392150 -155.286517,-84.905344 -23.142492,-35.102491 18.917693,16.461806 22.498141,67.745408 30.235119,43.470490 -131.962297,-8.095400 -128.051374,-59.397775 -122.487836,-69.066024 42.023555,-17.954977 50.276690,33.646005 53.825621,83.937811 87.541353
