-0.121097 -95.055183,39.989112 -92.038857,79.421930 -75.469562,59.900058 78.755107,19.960339 83.650109,-20.187454 86.270801,-60.019052 91.179640,-79.460942 -114.703090,-40.173201 -98.076082,13.269173 -64.202055,53.281501 -60.234965,85.118616 67.836185,46.643028 111.152421,6.574505 114.539162,-33.523770 117.328369,-73.092472 126.832990,-66.583138 -73.355553,-26.861205 -66.863853,26.645556 -33.248300,66.489447 -26.777126,73.025457 133.122415,33.322540 142.594531,-6.815005 145.380887,-46.807508 148.774357,-85.128009 -167.810957,-53.424185 -39.885445,-13.504619 -35.908727,39.989112 -2.038857,79.421930 14.530438,59.900058 168.755107,19.960339 173.650109,-20.187454 176.270801,-60.019052 -178.820360,-79.460942 -24.703090,-40.173201 -8.076082,-0.121097 -5.055183,53.281501 29.765035,85.118616 157.836185,46.643028 -158.847579,6.574505 -155.460838,-33.523770 -152.671631,-73.092472 -143.167010,-66.583138 16.644447,-26.861205 23.136147,13.269173 25.797945,66.489447 63.222874,73.025457 -136.877585,33.322540 -127.405469,-6.815005 -124.619113,-46.807508 -121.225643,-85.128009 -77.810957,-53.424185 50.114555,-13.504619 54.091273,26.645556 56.751700
19.917105 -95.128788,59.857357 -90.241397,79.462288 63.914084,40.032165 80.558642,-0.077821 83.576858,-40.130267 86.595860,-79.420749 103.147958,-60.061593 -102.665995,-20.230623 -97.749486,33.279412 -64.074014,72.983494 -54.629431,66.531907 105.284609,26.688744 111.769297,-13.461398 114.430250,-53.381480 118.402283,-85.156868 -114.036911,-46.850336 -70.255712,-6.858261 -66.859249,46.600065 -32.633750,85.089367 10.320222,53.324352 138.751813,13.312437 142.723580,-26.818101 145.384847,-66.540845 151.863030,-73.134253 -48.340274,-33.566795 -38.807865,6.531226 -36.017522,59.857357 -0.241397,79.462288 153.914084,40.032165 170.558642,-0.077821 173.576858,-40.130267 176.595860,-79.420749 -166.852042,-60.061593 -12.665995,-20.230623 -7.749486,19.917105 -5.128788,72.983494 35.370569,66.531907 -164.715391,26.688744 -158.230703,-13.461398 -155.569750,-53.381480 -151.597717,-85.156868 -24.036911,-46.850336 19.744288,-6.858261 23.140751,33.279412 25.925986,85.089367 100.320222,53.324352 -131.248187,13.312437 -127.276420,-26.818101 -124.615153,-66.540845 -118.136970,-73.134253 41.659726,-33.566795 51.192135,6.531226 53.982478,46.600065 57.366250
21.737117 -95.123854,61.654131 -89.892387,77.748032 66.698196,38.219102 80.621969,-1.899781 83.565424,-41.937340 86.669459,-81.092428 106.979233,-58.269449 -102.361901,-18.412780 -97.747191,35.094792 -64.033303,74.745427 -53.288205,64.742554 105.824384,24.870167 111.784238,-15.280847 114.426118,-55.178653 118.608188,-83.801847 -101.738501,-45.046532 -70.147144,-5.036908 -66.869516,48.408356 -32.510600,86.096266 29.944050,51.519528 138.931169,11.490799 142.717616,-28.632461 145.404358,-68.319541 152.503026,-71.371143 -47.251881,-31.754890 -38.773220,8.353315 -36.027033,61.654131 0.107613,77.748032 156.698196,38.219102 170.621969,-1.899781 173.565424,-41.937340 176.669459,-81.092428 -163.020767,-58.269449 -12.361901,-18.412780 -7.747191,21.737117 -5.123854,74.745427 36.711795,64.742554 -164.175616,24.870167 -158.215762,-15.280847 -155.573882,-55.178653 -151.391812,-83.801847 -11.738501,-45.046532 19.852856,-5.036908 23.130484,35.094792 25.966697,86.096266 119.944050,51.519528 -131.068831,11.490799 -127.282384,-28.632461 -124.595642,-68.319541 -117.496974,-71.371143 42.748119,-31.754890 51.226780,8.353315 53.972967,48.408356 57.489400
23.556641 -95.115602,63.448529 -89.484987,76.010331 68.773743,36.405151 80.676169,-3.721563 83.554219,-43.743253 86.754577,-82.703268 112.577700,-56.475313 -102.099060,-16.594308 -97.747531,36.909358 -63.985077,76.495102 -51.575885,62.950101 106.281622,23.051023 111.795137,-17.099745 114.424077,-56.974115 118.845242,-82.263904 -94.108378,-43.241486 -70.052799,-3.215287 -66.880411,50.215445 -32.369209,86.410447 57.334406,49.713357 139.087365,9.668950 142.710127,-30.445953 145.428913,-70.093617 153.272296,-69.601102 -46.366723,-29.942049 -38.744664,10.175284 -36.035460,63.448529 0.515013,76.010331 158.773743,36.405151 170.676169,-3.721563 173.554219,-43.743253 176.754577,-82.703268 -157.422300,-56.475313 -12.099060,-16.594308 -7.747531,23.556641 -5.115602,76.495102 38.424115,62.950101 -163.718378,23.051023 -158.204863,-17.099745 -155.575923,-56.974115 -151.154758,-82.263904 -4.108378,-43.241486 19.947201,-3.215287 23.119589,36.909358 26.014923,86.410447 147.334406,49.713357 -130.912635,9.668950 -127.289873,-30.445953 -124.571087,-70.093617 -116.727704,-69.601102 43.633277,-29.942049 51.255336,10.175284 53.964540,50.215445 57.630791
25.375632 -95.103625,65.240173 -89.006531,74.256824 70.369861,34.590354 80.722222,-5.543115 83.543476,-45.547960 86.852698,-84.202570 121.245545,-54.679361 -101.871158,-14.775251 -97.750183,38.723067 -63.928444,78.227232 -49.331530,61.155009 106.671660,21.231359 111.802428,-18.918047 114.424436,-58.767717 119.118855,-80.632588 -89.097615,-41.435246 -69.971022,-1.393450 -66.891702,52.021251 -32.206905,85.870673 83.108540,47.905926 139.223438,7.846943 142.701374,-32.258537 145.459095,-71.861909 154.208349,-67.825641 -45.636623,-28.128312 -38.721567,11.997079 -36.042552,65.240173 0.993469,74.256824 160.369861,34.590354 170.722222,-5.543115 173.543476,-45.547960 176.852698,-84.202570 -148.754455,-54.679361 -11.871158,-14.775251 -7.750183,25.375632 -5.103625,78.227232 40.668470,61.155009 -163.328340,21.231359 -158.197572,-18.918047 -155.575564,-58.767717 -150.881145,-80.632588 0.902385,-41.435246 20.028978,-1.393450 23.108298,38.723067 26.071556,85.870673 173.108540,47.905926 -130.776562,7.846943 -127.298626,-32.258537 -124.540905,-71.861909 -115.791651,-67.825641 44.363377,-28.128312 51.278433,11.997079 53.957448,52.021251 57.793095
27.194043 -95.087478,67.028561 -88.440469,72.492134 71.628003,32.774756 80.760988,-7.364384 83.533426,-47.351409 86.965549,-85.478219 135.376258,-52.881736 -101.673088,-12.955658 -97.754844,40.535874 -63.862389,79.932943 -46.290701,59.357629 107.006293,19.411220 111.806507,-20.735706 114.427524,-60.559271 119.435736,-78.949042 -85.618117,-39.627858 -69.900388,0.428549 -66.903160,53.825682 -32.020494,84.733229 100.316328,46.097313 139.341934,6.024830 142.691606,-34.070176 145.495554,-73.622737 155.364451,-66.045820 -45.027384,-26.313718 -38.703362,13.818650 -36.048044,67.028561 1.559531,72.492134 161.628003,32.774756 170.760988,-7.364384 173.533426,-47.351409 176.965549,-85.478219 -134.623742,-52.881736 -11.673088,-12.955658 -7.754844,27.194043 -5.087478,79.932943 43.709299,59.357629 -162.993707,19.411220 -158.193493,-20.735706 -155.572476,-60.559271 -150.564264,-78.949042 4.381883,-39.627858 20.099612,0.428549 23.096840,40.535874 26.137611,84.733229 -169.683672,46.097313 -130.658066,6.024830 -127.308394,-34.070176 -124.504446,-73.622737 -114.635549,-66.045820 44.972616,-26.313718 51.296638,13.818650 53.951956,53.825682 57.979506
29.011830 -95.066674,68.813020 -87.764765,70.719207 72.639646,30.958401 80.793231,-9.185320 83.524309,-49.153542 87.095154,-86.291925 157.870373,-51.082551 -101.500673,-11.135577 -97.761231,42.347732 -63.785747,81.596326 -41.994160,57.558233 107.294736,17.590654 111.807740,-22.552678 114.433696,-62.348535 119.804309,-77.233776 -83.088644,-37.819366 -69.839665,2.250658 -66.914557,55.628626 -31.806123,83.295639 110.780195,44.287584 139.445003,4.202663 142.681066,-35.880830 145.539019,-75.373608 156.818659,-64.262398 -44.514091,-24.498307 -38.689539,15.639945 -36.051658,68.813020 2.235235,70.719207 162.639646,30.958401 170.793231,-9.185320 173.524309,-49.153542 177.095154,-86.291925 -112.129627,-51.082551 -11.500673,-11.135577 -7.761231,29.011830 -5.066674,81.596326 48.005840,57.558233 -162.705264,17.590654 -158.192260,-22.552678 -155.566304,-62.348535 -150.195691,-77.233776 6.911356,-37.819366 20.160335,2.250658 23.085443,42.347732 26.214253,83.295639 -159.219805,44.287584 -130.554997,4.202663 -127.318934,-35.880830 -124.460981,-75.373608 -113.181341,-64.262398 45.485909,-24.498307 51.310461,15.639945 53.948342,55.628626 58.193877
30.828949 -95.040670,70.592619 -86.949451,68.939998 73.466332,29.141331 80.819627,-11.005870 83.516373,-50.954294 87.243900,-86.323120 -174.037812,-49.281901 -101.350461,-9.315056 -97.769074,44.158591 -63.697181,83.186508 -35.597242,55.757034 107.544291,15.769710 111.806464,-24.368920 114.443337,-64.135199 120.235287,-75.497896 -81.181820,-36.009809 -69.787777,4.072824 -66.925664,57.429946 -31.559100,81.712564 117.375946,42.476798 139.534476,2.380495 142.669988,-37.690461 145.590315,-77.110672 158.689669,-62.475934 -44.078182,-22.682119 -38.679636,17.460915 -36.053100,70.592619 3.050549,68.939998 163.466332,29.141331 170.819627,-11.005870 173.516373,-50.954294 177.243900,-86.323120 -84.037812,-49.281901 -11.350461,-9.315056 -7.769074,30.828949 -5.040670,83.186508 54.402758,55.757034 -162.455709,15.769710 -158.193536,-24.368920 -155.556663,-64.135199 -149.764713,-75.497896 8.818180,-36.009809 20.212223,4.072824 23.074336,44.158591 26.302819,81.712564 -152.624054,42.476798 -130.465524,2.380495 -127.330012,-37.690461 -124.409685,-77.110672 -111.310331,-62.475934 45.921818,-22.682119 51.320364,17.460915 53.946900,57.429946 58.440900
32.645357 -95.008865,72.366050 -85.952752,67.155852 74.150879,27.323590 80.840784,-12.825984 83.509873,-52.753586 87.414626,-85.555300 -150.923417,-47.479864 -101.219576,-7.494147 -97.778115,45.968397 -63.595138,84.638160 -25.490265,53.954201 107.760822,13.948436 111.802994,-26.184388 114.456865,-65.918854 120.742513,-73.747860 -79.702456,-34.199226 -69.743782,5.894993 -66.936250,59.229477 -31.273651,80.053120 121.787887,40.665010 139.611920,0.558380 142.658604,-39.499031 145.650375,-78.827702 161.165995,-60.686843 -43.705549,-20.865198 -38.673230,19.281509 -36.052057,72.366050 4.047248,67.155852 164.150879,27.323590 170.840784,-12.825984 173.509873,-52.753586 177.414626,-85.555300 -60.923417,-47.479864 -11.219576,-7.494147 -7.778115,32.645357 -5.008865,84.638160 64.509735,53.954201 -162.239178,13.948436 -158.197006,-26.184388 -155.543135,-65.918854 -149.257487,-73.747860 10.297544,-34.199226 20.256218,5.894993 23.063750,45.968397 26.404862,80.053120 -148.212113,40.665010 -130.388080,0.558380 -127.341396,-39.499031 -124.349625,-78.827702 -108.834005,-60.686843 46.294451,-20.865198 51.326770,19.281509 53.947943,59.229477 58.726349
34.461010 -94.970588,74.131409 -84.714761,65.367719 74.723947,25.505222 80.857245,-14.645614 83.505080,-54.551326 87.610739,-84.302789 -136.280589,-45.676506 -101.105602,-5.672899 -97.788106,47.777092 -63.477808,85.805110 -8.871717,52.149873 107.949089,12.126883 111.797627,-27.999042 114.474742,-67.698954 121.344179,-71.987647 -78.528064,-32.387657 -69.706849,7.717112 -66.946081,61.027009 -30.942588,78.349783 124.899856,38.852269 139.678690,-1.263629 142.647143,-41.306498 145.720263,-80.514034 164.562587,-58.895444 -43.385286,-19.047586 -38.669934,21.101680 -36.048193,74.131409 5.285239,65.367719 164.723947,25.505222 170.857245,-14.645614 173.505080,-54.551326 177.610739,-84.302789 -46.280589,-45.676506 -11.105602,-5.672899 -7.788106,34.461010 -4.970588,85.805110 81.128283,52.149873 -162.050911,12.126883 -158.202373,-27.999042 -155.525258,-67.698954 -148.655821,-71.987647 11.471936,-32.387657 20.293151,7.717112 23.053919,47.777092 26.522192,78.349783 -145.100144,38.852269 -130.321310,-1.263629 -127.352857,-41.306498 -124.279737,-80.514034 -105.437413,-58.895444 46.614714,-19.047586 51.330066,21.101680 53.951807,61.027009 59.057412
36.275865 -94.925082,75.885841 -83.146658,63.576289 75.208043,23.686271 80.869504,-16.464710 83.502275,-56.347401 87.836359,-82.814644 -127.318258,-43.871888 -101.006492,-3.851366 -97.798808,49.584609 -63.343066,86.399166 16.383834,50.344161 108.112998,10.305102 111.790641,-29.812841 114.497473,-69.474756 122.064667,-70.219824 -77.578324,-30.575139 -69.676242,9.539128 -66.954915,62.822275 -30.556853,76.619184 127.190586,37.038622 139.735959,-3.085479 142.635833,-43.112821 145.801202,-82.150087 169.436325,-57.101981 -43.108830,-17.229328 -38.669392,22.921380 -36.041143,75.885841 6.853342,63.576289 165.208043,23.686271 170.869504,-16.464710 173.502275,-56.347401 177.836359,-82.814644 -37.318258,-43.871888 -11.006492,-3.851366 -7.798808,36.275865 -4.925082,86.399166 106.383834,50.344161 -161.887002,10.305102 -158.209359,-29.812841 -155.502527,-69.474756 -147.935333,-70.219824 12.421676,-30.575139 20.323758,9.539128 23.045085,49.584609 26.656934,76.619184 -142.809414,37.038622 -130.264041,-3.085479 -127.364167,-43.112821 -124.198798,-82.150087 -100.563675,-57.101981 46.891170,-17.229328 51.330608,22.921380 53.958857,62.822275 59.443147
38.089878 -94.871493,77.624874 -81.111512,61.782073 75.620049,21.866783 80.878008,-18.283226 83.501760,-58.141671 88.096517,-81.209622 -121.554145,-42.066059 -100.920499,-2.029598 -97.809987,51.390873 -63.188398,86.145700 44.062188,48.537161 108.255785,8.483144 111.782300,-31.625747 114.525620,-71.245227 122.937382,-68.446117 -76.798561,-28.761710 -69.651306,11.360990 -66.962502,64.614930 -30.104862,74.870554 128.934597,35.224116 139.784753,-4.907117 142.624902,-44.917955 145.894600,-83.696824 176.826477,-55.306646 -42.869364,-15.410471 -38.671272,24.740562 -36.030515,77.624874 8.888488,61.782073 165.620049,21.866783 170.878008,-18.283226 173.501760,-58.141671 178.096517,-81.209622 -31.554145,-42.066059 -10.920499,-2.029598 -7.809987,38.089878 -4.871493,86.145700 134.062188,48.537161 -161.744215,8.483144 -158.217700,-31.625747 -155.474380,-71.245227 -147.062618,-68.446117 13.201439,-28.761710 20.348694,11.360990 23.037498,51.390873 26.811602,74.870554 -141.065403,35.224116 -130.215247,-4.907117 -127.375098,-44.917955 -124.105400,-83.696824 -93.173523,-55.306646 47.130636,-15.410471 51.328728,24.740562 53.969485,64.614930 59.895138
