-0.121097 -95.055183,32.715939 -92.743778,65.294285 -87.230123,81.103988 61.387015,49.058986 80.815655,16.311197 83.903128,-16.543254 86.017453,-49.215778 89.112159,-81.135079 108.607189,-65.392685 -102.900892,-32.918597 -97.369418,10.835021 -64.361363,43.620247 -61.628807,75.961299 -50.554392,70.657835 104.683202,38.172112 112.132634,5.357115 114.616179,-27.467385 116.816591,-60.019052 121.179640,-85.513545 -117.944052,-54.625044 -70.104081,-22.008560 -66.496991,21.784269 -33.614534,54.486535 -30.017055,85.506726 17.732615,59.900058 138.755107,27.252928 143.105233,-5.598175 145.303836,-38.361132 147.791390,-70.734699 155.266449,-76.015762 -49.601060,-43.793928 -38.487269,-11.072689 -35.749279,32.715939 -2.743778,65.294285 2.769877,81.103988 151.387015,49.058986 170.815655,16.311197 173.903128,-16.543254 176.017453,-49.215778 179.112159,-81.135079 -161.392811,-65.392685 -12.900892,-32.918597 -7.369418,-0.121097 -5.055183,43.620247 28.371193,75.961299 39.445608,70.657835 -165.316798,38.172112 -157.867366,5.357115 -155.383821,-27.467385 -153.183409,-60.019052 -148.820360,-85.513545 -27.944052,-54.625044 19.895919,-22.008560 23.503009,10.835021 25.638637,54.486535 59.982945,85.506726 107.732615,59.900058 -131.244893,27.252928 -126.894767,-5.598175 -124.696164,-38.361132 -122.208610,-70.734699 -114.733551,-76.015762 40.398940,-43.793928 51.512731,-11.072689 54.250721,21.784269 56.385466
74.047769 -87.546965,72.591445 68.294767,40.149578 76.781324,7.344497 79.345104,-25.487858 81.516728,-58.064226 85.569240,-86.343154 -178.473502,-56.583837 -105.635252,-23.989720 -101.788531,8.847876 -99.634630,41.644785 -97.002808,84.104238 -32.892574,61.859608 103.088310,29.235512 107.800093,-3.611427 110.033536,-36.387762 112.450417,-68.801586 119.092509,-77.902279 -87.168055,-45.762201 -73.877441,-13.057824 -71.024360,19.799194 -68.901877,52.518972 -65.511726,82.862936 109.822575,51.029399 135.370527,18.297143 138.621594,-14.559187 140.738489,-47.250197 143.688965,-79.311033 159.169359,-67.335248 -48.811420,-34.894094 -42.694244,-2.108275 -40.324748,30.734800 -38.060454,63.340116 -33.032842,72.591445 158.294767,40.149578 166.781324,7.344497 169.345104,-25.487858 171.516728,-58.064226 175.569240,-86.343154 -88.473502,-56.583837 -15.635252,-23.989720 -11.788531,8.847876 -9.634630,41.644785 -7.002808,74.047769 2.453035,61.859608 -166.911690,29.235512 -162.199907,-3.611427 -159.966464,-36.387762 -157.549583,-68.801586 -150.907491,-77.902279 2.831945,-45.762201 16.122559,-13.057824 18.975640,19.799194 21.098123,52.518972 24.488274,84.104238 57.107426,51.029399 -134.629473,18.297143 -131.378406,-14.559187 -129.261511,-47.250197 -126.311035,-79.311033 -110.830641,-67.335248 41.188580,-34.894094 47.305756,-2.108275 49.675252,30.734800 51.939546,63.340116 56.967158,82.862936 -160.177425
75.802804 -85.997158,70.818921 69.318401,38.336575 76.845279,5.522363 79.335100,-27.302830 81.532879,-59.856609 85.868247,-85.609860 -154.916956,-54.787991 -105.405393,-22.173322 -101.779648,10.669802 -99.642720,43.456038 -96.919041,85.405951 -19.169210,60.063089 103.443458,27.417804 107.821507,-5.432994 110.022758,-38.197100 112.504068,-70.574225 119.902800,-76.173441 -85.048297,-43.957641 -73.777666,-11.237769 -71.030657,21.619236 -68.897145,54.323004 -65.318021,81.253672 115.681064,49.222878 135.520983,16.476340 138.621252,-16.378310 140.735584,-49.052406 143.817570,-80.985629 162.914359,-65.554368 -48.230813,-33.082899 -42.654693,-0.286333 -40.336168,32.551246 -38.028966,65.131939 -32.559107,70.818921 159.318401,38.336575 166.845279,5.522363 169.335100,-27.302830 171.532879,-59.856609 175.868247,-85.609860 -64.916956,-54.787991 -15.405393,-22.173322 -11.779648,10.669802 -9.642720,43.456038 -6.919041,75.802804 4.002842,60.063089 -166.556542,27.417804 -162.178493,-5.432994 -159.977242,-38.197100 -157.495932,-70.574225 -150.097200,-76.173441 4.951703,-43.957641 16.222334,-11.237769 18.969343,21.619236 21.102855,54.323004 24.681979,85.405951 70.830790,49.222878 -134.479017,16.476340 -131.378748,-16.378310 -129.264416,-49.052406 -126.182430,-80.985629 -107.085641,-65.554368 41.769187,-33.082899 47.345307,-0.286333 49.663832,32.551246 51.971034,65.131939 57.440893,81.253672 -154.318936
77.542705 -83.988337,69.040025 70.154198,36.522679 76.900040,3.700191 79.324388,-29.116962 81.553683,-61.646804 86.215403,-84.374964 -139.890926,-52.990464 -105.205647,-20.356203 -101.774151,12.491542 -99.649404,45.266259 -96.822426,86.262084 2.861278,58.264456 103.749059,25.599468 107.838199,-7.254282 110.012659,-40.005365 112.566767,-72.340684 120.892481,-74.428321 -83.420715,-42.151868 -73.691085,-9.417271 -71.038425,23.438793 -68.889120,56.125515 -65.095156,79.579578 119.662555,47.415119 135.652052,14.655188 138.618598,-18.196854 140.734953,-50.853237 143.965170,-82.601546 168.367785,-63.770058 -47.740496,-31.270740 -42.621741,1.535739 -40.347616,34.366939 -37.991042,66.920541 -31.998902,69.040025 160.154198,36.522679 166.900040,3.700191 169.324388,-29.116962 171.553683,-61.646804 176.215403,-84.374964 -49.890926,-52.990464 -15.205647,-20.356203 -11.774151,12.491542 -9.649404,45.266259 -6.822426,77.542705 6.011663,58.264456 -166.250941,25.599468 -162.161801,-7.254282 -159.987341,-40.005365 -157.433233,-72.340684 -149.107519,-74.428321 6.579285,-42.151868 16.308915,-9.417271 18.961575,23.438793 21.110880,56.125515 24.904844,86.262084 92.861278,47.415119 -134.347948,14.655188 -131.381402,-18.196854 -129.265047,-50.853237 -126.034830,-82.601546 -101.632215,-63.770058 42.259504,-31.270740 47.378259,1.535739 49.652384,34.366939 52.008958,66.920541 58.001098,79.579578 -150.337445
79.260297 -81.304701,67.256127 70.845820,34.707936 76.946593,1.878033 79.313203,-30.930215 81.579682,-63.434531 86.620441,-82.895289 -130.706545,-51.191370 -105.031785,-18.538406 -101.771661,14.313043 -99.654414,47.075393 -96.711262,86.344928 31.018332,56.463942 104.013102,23.780546 107.850665,-9.075239 110.003479,-41.812516 112.639619,-74.099100 122.120442,-72.671691 -82.139365,-40.344931 -73.616189,-7.596382 -71.047405,25.257820 -68.877397,57.926360 -64.838167,77.867346 122.507568,45.606197 135.766162,12.833737 138.613933,-20.014774 140.736917,-52.652614 144.134579,-84.110521 176.778410,-61.982833 -47.323289,-29.457656 -42.594702,3.357889 -40.358864,36.181836 -37.945931,68.705261 -31.330584,67.256127 160.845820,34.707936 166.946593,1.878033 169.313203,-30.930215 171.579682,-63.434531 176.620441,-82.895289 -40.706545,-51.191370 -15.031785,-18.538406 -11.771661,14.313043 -9.654414,47.075393 -6.711262,79.260297 8.695299,56.463942 -165.986898,23.780546 -162.149335,-9.075239 -159.996521,-41.812516 -157.360381,-74.099100 -147.879558,-72.671691 7.860635,-40.344931 16.383811,-7.596382 18.952595,25.257820 21.122603,57.926360 25.161833,86.344928 121.018332,45.606197 -134.233838,12.833737 -131.386067,-20.014774 -129.263083,-52.652614 -125.865421,-84.110521 -93.221590,-61.982833 42.676711,-29.457656 47.405298,3.357889 49.641136,36.181836 52.054069,68.705261 58.669416,77.867346 -147.492432
80.943070 -77.579879,65.468198 71.424488,32.892389 76.985807,0.055942 79.301775,-32.742550 81.611474,-65.219423 87.095856,-81.294659 -124.817781,-49.390806 -104.880317,-16.719976 -101.771830,16.134255 -99.657468,48.883376 -96.583552,85.610486 54.696040,54.661732 104.241968,21.961085 107.859353,-10.895814 109.995464,-43.618511 112.723896,-75.846680 123.673804,-70.906579 -81.110090,-38.536872 -73.551672,-5.775152 -71.057349,27.076270 -68.861535,59.725363 -64.540927,76.130973 124.623376,43.796175 135.865372,11.012039 138.607543,-21.832023 140.741822,-54.450443 144.329165,-85.406166 -169.541436,-60.193078 -46.966073,-27.643686 -42.572964,5.180063 -40.369682,37.995895 -37.892784,70.485187 -30.524754,65.468198 161.424488,32.892389 166.985807,0.055942 169.301775,-32.742550 171.611474,-65.219423 177.095856,-81.294659 -34.817781,-49.390806 -14.880317,-16.719976 -11.771830,16.134255 -9.657468,48.883376 -6.583552,80.943070 12.420121,54.661732 -165.758032,21.961085 -162.140647,-10.895814 -160.004536,-43.618511 -157.276104,-75.846680 -146.326196,-70.906579 8.889910,-38.536872 16.448328,-5.775152 18.942651,27.076270 21.138465,59.725363 25.459073,85.610486 144.696040,43.796175 -134.134628,11.012039 -131.392457,-21.832023 -129.258178,-54.450443 -125.670835,-85.406166 -79.541436,-60.193078 43.033927,-27.643686 47.427036,5.180063 49.630318,37.995895 52.107216,70.485187 59.475246,76.130973 -145.376624
82.567531 -72.154826,63.676938 71.913088,31.076081 77.018451,-1.766029 79.290333,-34.553929 81.649729,-67.000994 87.657955,-79.628799 -120.814810,-47.588851 -104.748337,-14.900958 -101.774332,17.955127 -99.658268,50.690136 -96.436943,84.369956 69.775387,52.857976 104.440816,20.141131 107.864674,-12.715956 109.988871,-45.423302 112.821066,-77.579058 125.686528,-69.134989 -80.269671,-36.727733 -73.496399,-3.953634 -71.068018,28.894099 -68.841048,61.522299 -64.195786,74.378385 126.247330,41.985112 135.951434,9.190143 138.599697,-23.648560 140.750038,-56.246615 144.553004,-86.259981 -147.620177,-58.401088 -46.658662,-25.828870 -42.555977,7.002208 -40.379838,39.809069 -37.830637,72.259037 -29.540500,63.676938 161.913088,31.076081 167.018451,-1.766029 169.290333,-34.553929 171.649729,-67.000994 177.657955,-79.628799 -30.814810,-47.588851 -14.748337,-14.900958 -11.774332,17.955127 -9.658268,50.690136 -6.436943,82.567531 17.845174,52.857976 -165.559184,20.141131 -162.135326,-12.715956 -160.011129,-45.423302 -157.178934,-77.579058 -144.313472,-69.134989 9.730329,-36.727733 16.503601,-3.953634 18.931982,28.894099 21.158952,61.522299 25.804214,84.369956 159.775387,41.985112 -134.048566,9.190143 -131.400303,-23.648560 -129.249962,-56.246615 -125.446996,-86.259981 -57.620177,-58.401088 43.341338,-25.828870 47.444023,7.002208 49.620162,39.809069 52.169363,72.259037 60.459500,74.378385 -143.752670
84.085636 -63.783659,61.882867 72.328767,29.259056 77.045207,-3.587826 79.279104,-36.364314 81.695202,-68.778586 88.328418,-77.924540 -117.954228,-45.785571 -104.633402,-13.081400 -101.778864,19.775612 -99.656494,52.495590 -96.268637,82.883164 78.974636,51.052795 104.613863,18.320730 107.867006,-14.535616 109.983966,-47.226840 112.932838,-79.289072 128.374159,-67.358294 -79.574202,-34.917552 -73.449378,-2.131878 -71.079176,30.711262 -68.815398,63.316884 -63.793064,72.614359 127.525448,40.173060 136.025855,7.368103 138.590653,-25.464339 140.761972,-58.040991 144.811071,-86.347808 -119.584793,-56.607091 -46.393024,-24.013247 -42.543245,8.824271 -40.389092,41.621313 -37.758391,74.024953 -28.319258,61.882867 162.328767,29.259056 167.045207,-3.587826 169.279104,-36.364314 171.695202,-68.778586 178.328418,-77.924540 -27.954228,-45.785571 -14.633402,-13.081400 -11.778864,19.775612 -9.656494,52.495590 -6.268637,84.085636 26.216341,51.052795 -165.386137,18.320730 -162.132994,-14.535616 -160.016034,-47.226840 -157.067162,-79.289072 -141.625841,-67.358294 10.425798,-34.917552 16.550622,-2.131878 18.920824,30.711262 21.184602,63.316884 26.206936,82.883164 168.974636,40.173060 -133.974145,7.368103 -131.409347,-25.464339 -129.238028,-58.040991 -125.188929,-86.347808 -29.584793,-56.607091 43.606976,-24.013247 47.456755,8.824271 49.610908,41.621313 52.241609,74.024953 61.680742,72.614359 -142.474552
85.391259 -50.149330,60.086378 72.684618,27.441358 77.066686,-5.409396 79.268318,-38.173666 81.748742,-70.551296 89.136685,-76.195956 -115.826796,-43.981027 -104.533446,-11.261351 -101.785140,21.595660 -99.651802,54.299642 -96.075283,81.275014 84.864720,49.246290 104.764588,16.499931 107.866697,-16.354746 109.981032,-49.029066 113.061213,-80.964240 132.102229,-65.577463 -78.992291,-33.106370 -73.409737,-0.309938 -71.090594,32.527718 -68.783989,65.108745 -63.320332,70.841929 128.551877,38.360069 136.089937,5.545970 138.580659,-27.279321 140.778066,-59.833401 145.109508,-85.623296 -95.919135,-54.811268 -46.162744,-22.196859 -42.534316,10.646200 -40.397199,43.432579 -37.674780,75.780152 -26.774390,60.086378 162.684618,27.441358 167.066686,-5.409396 169.268318,-38.173666 171.748742,-70.551296 179.136685,-76.195956 -25.826796,-43.981027 -14.533446,-11.261351 -11.785140,21.595660 -9.651802,54.299642 -6.075283,85.391259 39.850670,49.246290 -165.235412,16.499931 -162.133303,-16.354746 -160.018968,-49.029066 -156.938787,-80.964240 -137.897771,-65.577463 11.007709,-33.106370 16.590263,-0.309938 18.909406,32.527718 21.216011,65.108745 26.679668,81.275014 174.864720,38.360069 -133.910063,5.545970 -131.419341,-27.279321 -129.221934,-59.833401 -124.890492,-85.623296 -5.919135,-54.811268 43.837256,-22.196859 47.465684,10.646200 49.602801,43.432579 52.325220,75.780152 63.225610,70.841929 -141.448123
86.255306 -28.235038,58.287771 72.990806,25.623029 77.083436,-7.230688 79.258209,-39.981945 81.811317,-72.317845 90.123712,-74.451012 -114.193914,-42.175270 -104.446705,-9.440859 -101.792891,23.415223 -99.643822,56.102173 -95.852825,79.601551 88.864808,47.438547 104.895892,14.678784 107.864071,-18.173298 109.980370,-50.829916 113.208550,-82.581149 137.527259,-63.793194 -78.500923,-31.294223 -73.376703,1.512133 -71.102043,34.343421 -68.746153,66.897392 -62.761373,69.063106 129.389795,36.546185 136.144810,3.723798 138.569955,-29.093464 140.798807,-61.623626 145.455984,-84.392911 -80.795904,-53.013762 -45.962636,-20.379749 -42.528777,12.467942 -40.403903,45.242814 -37.578342,77.520287 -24.772665,58.287771 162.990806,25.623029 167.083436,-7.230688 169.258209,-39.981945 171.811317,-72.317845 -179.876288,-74.451012 -24.193914,-42.175270 -14.446705,-9.440859 -11.792891,23.415223 -9.643822,56.102173 -5.852825,86.255306 61.764962,47.438547 -165.104108,14.678784 -162.135929,-18.173298 -160.019630,-50.829916 -156.791450,-82.581149 -132.472741,-63.793194 11.499077,-31.294223 16.623297,1.512133 18.897957,34.343421 21.253847,66.897392 27.238627,79.601551 178.864808,36.546185 -133.855190,3.723798 -131.430045,-29.093464 -129.201193,-61.623626 -124.544016,-84.392911 9.204096,-53.013762 44.037364,-20.379749 47.471223,12.467942 49.596097,45.242814 52.421658,77.520287 65.227335,69.063106 -140.610205
86.349549 -0.094807,56.487280 73.255344,23.804114 77.095953,-9.051650 79.249016,-41.789111 81.884030,-74.076381 91.348105,-72.694509 -112.908766,-40.368348 -104.371666,-7.619975 -101.801857,25.234257 -99.632149,57.903041 -95.596314,77.889705 91.721447,45.629639 105.010208,12.857337 107.859430,-19.991226 109.982299,-52.629312 113.377656,-84.092008 145.887605,-62.006004 -78.082860,-29.481151 -73.349592,3.334282 -71.113295,36.158329 -68.701140,68.682167 -62.094623,67.279266 130.083064,34.731452 136.191463,1.901639 138.558775,-30.906729 140.824734,-63.411387 145.860199,-82.915402 -71.554948,-51.214688 -45.788462,-18.561960 -42.526251,14.289446 -40.408936,47.051962 -37.467379,79.238233 -22.099681,56.487280 163.255344,23.804114 167.095953,-9.051650 169.249016,-41.789111 171.884030,-74.076381 -178.651895,-72.694509 -22.908766,-40.368348 -14.371666,-7.619975 -11.801857,25.234257 -9.632149,57.903041 -5.596314,86.349549 89.905193,45.629639 -164.989792,12.857337 -162.140570,-19.991226 -160.017701,-52.629312 -156.622344,-84.092008 -124.112395,-62.006004 11.917140,-29.481151 16.650408,3.334282 18.886705,36.158329 21.298860,68.682167 27.905377,77.889705 -178.278553,34.731452 -133.808537,1.901639 -131.441225,-30.906729 -129.175266,-63.411387 -124.139801,-82.915402 18.445052,-51.214688 44.211538,-18.561960 47.473749,14.289446 49.591064,47.051962 52.532621,79.238233 67.900319,67.279266 -139.916936
85.623975 23.692743,54.685091 73.484630,21.984660 77.104688,-10.872230 79.240985,-43.595121 81.968150,-75.824125 92.896524,-70.929492 -111.876680,-38.560303 -104.307022,-5.798749 -101.811790,27.052715 -99.616344,59.702069 -95.299641,76.153586 93.844926,43.819631 105.109599,11.035641 107.853061,-21.808485 109.987163,-54.427162 113.571891,-85.391538 159.479367,-60.216280 -77.724939,-27.667192 -73.327789,5.156456 -71.124121,37.972398 -68.648103,70.462163 -61.290806,65.491384 130.663034,32.915915 136.230767,0.079547 138.547349,-32.719077 140.856447,-65.196319 146.334607,-81.315892 -65.634455,-49.414142 -45.636724,-16.743538 -42.526387,16.110662 -40.412018,48.859960 -37.339897,80.921573 -18.391702,54.685091 163.484630,21.984660 167.104688,-10.872230 169.240985,-43.595121 171.968150,-75.824125 -177.103476,-70.929492 -21.876680,-38.560303 -14.307022,-5.798749 -11.811790,27.052715 -9.616344,59.702069 -5.299641,85.623975 113.692743,43.819631 -164.890401,11.035641 -162.146939,-21.808485 -160.012837,-54.427162 -156.428109,-85.391538 -110.520633,-60.216280 12.275061,-27.667192 16.672211,5.156456 18.875879,37.972398 21.351897,70.462163 28.709194,76.153586 -176.155074,32.915915 -133.769233,0.079547 -131.452651,-32.719077 -129.143553,-65.196319 -123.665393,-81.315892 24.365545,-49.414142 44.363276,-16.743538 47.473613,16.110662 49.587982,48.859960 52.660103,80.921573 71.608298,65.491384 -139.336966
84.387989 38.870041,52.881354 73.683838,20.164712 77.110050,-12.692378 79.234371,-45.399928 82.065143,-77.556737 94.902148,-69.157976 -111.034129,-36.751177 -104.251635,-3.977234 -101.822451,28.870552 -99.595920,61.499033 -94.955177,74.401171 95.474175,42.008581 105.195821,9.213748 107.845232,-23.625030 109.995334,-56.223356 113.795322,-86.253191 -178.714675,-58.424317 -77.416937,-25.852387 -73.310744,6.978602 -71.134286,39.785584 -68.586080,72.236102 -60.309191,63.700163 131.152681,31.099617 136.263492,-1.742425 138.535905,-34.530469 140.894614,-66.977936 146.895458,-79.650666 -61.612792,-47.612204 -45.504508,-14.924528 -42.528861,17.931540 -40.412849,50.666736 -37.193550,82.547020 -12.994917,52.881354 163.683838,20.164712 167.110050,-12.692378 169.234371,-45.399928 172.065143,-77.556737 -175.097852,-69.157976 -21.034129,-36.751177 -14.251635,-3.977234 -11.822451,28.870552 -9.595920,61.499033 -4.955177,84.387989 128.870041,42.008581 -164.804179,9.213748 -162.154768,-23.625030 -160.004666,-56.223356 -156.204678,-86.253191 -88.714675,-58.424317 12.583063,-25.852387 16.689256,6.978602 18.865714,39.785584 21.413920,72.236102 29.690809,74.401171 -174.525825,31.099617 -133.736508,-1.742425 -131.464095,-34.530469 -129.105386,-66.977936 -123.104542,-79.650666 28.387208,-47.612204 44.495492,-14.924528 47.471139,17.931540 49.587151,50.666736 52.806450,82.547020 77.005083,63.700163 -138.847319
82.903373 48.126160,51.076190 73.857195,18.344317 77.112419,-14.512045 79.229442,-47.203483 82.176713,-79.267106 97.579129,-67.381340 -110.337004,-34.941010 -104.204514,-2.155481 -101.833605,30.687725 -99.570341,63.293650 -94.553273,72.637271 96.756087,40.196542 105.270385,7.391709 107.836202,-25.440820 110.007216,-58.017757 114.052909,-86.352319 -150.696984,-56.630345 -77.150802,-24.036774 -73.297960,8.800666 -71.143554,41.597841 -68.513972,74.002136 -59.091498,61.906126 131.569214,29.282601 136.290320,-3.564225 138.524672,-36.340866 140.939988,-68.755586 147.564350,-77.946797 -58.740521,-45.808942 -45.389366,-13.104977 -42.533369,19.752029 -40.411110,52.472208 -37.025545,84.066999 -4.673881,51.076190 163.857195,18.344317 167.112419,-14.512045 169.229442,-47.203483 172.176713,-79.267106 -172.420871,-67.381340 -20.337004,-34.941010 -14.204514,-2.155481 -11.833605,30.687725 -9.570341,63.293650 -4.553273,82.903373 138.126160,40.196542 -164.729615,7.391709 -162.163798,-25.440820 -159.992784,-58.017757 -155.947091,-86.352319 -60.696984,-56.630345 12.849198,-24.036774 16.702040,8.800666 18.856446,41.597841 21.486028,74.002136 30.908502,72.637271 -173.243913,29.282601 -133.709680,-3.564225 -131.475328,-36.340866 -129.060012,-68.755586 -122.435650,-77.946797 31.259479,-45.808942 44.610634,-13.104977 47.466631,19.752029 49.588890,52.472208 52.974455,84.066999 85.326119,61.906126 -138.430786
81.296345 54.048067,49.269702 74.008190,16.523523 77.112142,-16.331182 79.226481,-49.005726 82.304859,-80.942842 101.290376,-65.600558 -109.753783,-33.129841 -104.164782,-0.333543 -101.845021,32.504189 -99.539011,65.085550 -94.081543,70.864936 97.785321,38.383563 105.334593,5.569577 107.826219,-27.255813 110.023253,-59.810193 114.350778,-85.636649 -126.922841,-54.834545 -76.920099,-22.220396 -73.288984,10.622597 -71.151677,43.409120 -68.430517,75.757497 -57.551546,60.109666 131.925770,27.464911 136.311864,-5.385799 138.513879,-38.150232 140.993418,-70.528366 148.370599,-76.218468 -56.605378,-44.004414 -45.289228,-11.284933 -42.539624,21.572083 -40.406458,54.276279 -36.832539,85.376496 8.871995,49.269702 164.008190,16.523523 167.112142,-16.331182 169.226481,-49.005726 172.304859,-80.942842 -168.709624,-65.600558 -19.753783,-33.129841 -14.164782,-0.333543 -11.845021,32.504189 -9.539011,65.085550 -4.081543,81.296345 144.048067,38.383563 -164.665407,5.569577 -162.173781,-27.255813 -159.976747,-59.810193 -155.649222,-85.636649 -36.922841,-54.834545 13.079901,-22.220396 16.711016,10.622597 18.848323,43.409120 21.569483,75.757497 32.448454,70.864936 -172.214679,27.464911 -133.688136,-5.385799 -131.486121,-38.150232 -129.006582,-70.528366 -121.629401,-76.218468 33.394622,-44.004414 44.710772,-11.284933 47.460376,21.572083 49.593542,54.276279 53.167461,85.376496 98.871995,60.109666 -138.074230
79.623517 58.066873,47.461975 74.139729,14.702380 77.109543,-18.149742 79.225787,-50.806594 82.451934,-82.560736 106.687212,-63.816330 -109.261363,-31.317706 -104.131667,1.488527 -101.856471,34.319903 -99.501262,66.874243 -93.523825,69.086186 98.625368,36.569690 105.389578,3.747405 107.815522,-29.069967 110.043931,-61.600448 114.696574,-84.410818 -111.701855,-53.037059 -76.719630,-20.403295 -73.283404,12.444342 -71.158401,45.219369 -68.334256,77.497865 -55.556882,58.311085 132.232546,25.646590 136.328672,-7.207095 138.503760,-39.958525 141.055869,-72.295005 149.354983,-74.473700 -54.967172,-42.198672 -45.202326,-9.464447 -42.547357,23.391654 -40.398523,56.078831 -36.610488,86.248393 30.669898,47.461975 164.139729,14.702380 167.109543,-18.149742 169.225787,-50.806594 172.451934,-82.560736 -163.312788,-63.816330 -19.261363,-31.317706 -14.131667,1.488527 -11.856471,34.319903 -9.501262,66.874243 -3.523825,79.623517 148.066873,36.569690 -164.610422,3.747405 -162.184478,-29.069967 -159.956069,-61.600448 -155.303426,-84.410818 -21.701855,-53.037059 13.280370,-20.403295 16.716596,12.444342 18.841599,45.219369 21.665744,77.497865 34.443118,69.086186 -171.374632,25.646590 -133.671328,-7.207095 -131.496240,-39.958525 -128.944131,-72.295005 -120.645017,-74.473700 35.032828,-42.198672 44.797674,-9.464447 47.452643,23.391654 49.601477,56.078831 53.389512,86.248393 120.669898,58.311085 -137.767454
77.912060 60.935206,45.653081 74.254251,12.880936 77.104927,-19.967678 79.227681,-52.606009 82.620737,-84.073461 114.997660,-62.029175 -108.842442,-29.504646 -104.104483,3.310675 -101.867727,36.134821 -99.456347,68.659073 -92.858639,67.302404 99.320289,34.754968 105.436332,1.925246 107.804347,-30.883243 110.069788,-63.388243 115.099969,-82.935496 -102.403891,-51.238005 -76.545144,-18.585515 -73.280841,14.265850 -71.163458,47.028531 -68.223492,79.216162 -52.894490,56.510617 132.497579,23.827683 136.341241,-9.028061 138.494553,-41.765706 141.128443,-74.053660 150.575822,-72.717324 -53.678208,-40.391765 -45.127144,-7.643567 -42.556309,25.210694 -40.386901,57.879721 -36.354454,86.354026 58.791156,45.653081 164.254251,12.880936 167.104927,-19.967678 169.227681,-52.606009 172.620737,-84.073461 -155.002340,-62.029175 -18.842442,-29.504646 -14.104483,3.310675 -11.867727,36.134821 -9.456347,68.659073 -2.858639,77.912060 150.935206,34.754968 -164.563668,1.925246 -162.195653,-30.883243 -159.930212,-63.388243 -154.900031,-82.935496 -12.403891,-51.238005 13.454856,-18.585515 16.719159,14.265850 18.836542,47.028531 21.776508,79.216162 37.105510,67.302404 -170.679711,23.827683 -133.658759,-9.028061 -131.505447,-41.765706 -128.871557,-74.053660 -119.424178,-72.717324 36.321792,-40.391765 44.872856,-7.643567 47.443691,25.210694 49.613099,57.879721 53.645546,86.354026 148.791156,56.510617 -137.502421
76.176195 63.066394,43.843088 74.353824,11.059243 77.098578,-21.784946 79.232504,-54.403880 82.814623,-85.376838 128.501603,-60.239481 -108.483812,-27.690699 -104.082615,5.132849 -101.878559,37.948902 -99.403420,70.439137 -92.056828,65.514569 99.901565,32.939441 105.475727,0.103152 107.792922,-32.695603 110.101421,-65.173214 115.573373,-81.337114 -96.451437,-49.437478 -76.393135,-16.767100 -73.280945,16.087070 -71.166567,48.836544 -68.096239,80.900067 -49.203250,54.708449 132.727287,22.008235 136.350022,-10.848646 138.486505,-43.571731 141.212406,-75.801567 152.119320,-70.952403 -52.643302,-38.583734 -45.062373,-5.822346 -42.566232,27.029160 -40.371152,59.678774 -36.058346,85.637380 82.687905,43.843088 164.353824,11.059243 167.098578,-21.784946 169.232504,-54.403880 172.814623,-85.376838 -141.498397,-60.239481 -18.483812,-27.690699 -14.082615,5.132849 -11.878559,37.948902 -9.403420,70.439137 -2.056828,76.176195 153.066394,32.939441 -164.524273,0.103152 -162.207078,-32.695603 -159.898579,-65.173214 -154.426627,-81.337114 -6.451437,-49.437478 13.606865,-16.767100 16.719055,16.087070 18.833433,48.836544 21.903761,80.900067 40.796750,65.514569 -170.098435,22.008235 -133.649978,-10.848646 -131.513495,-43.571731 -128.787594,-75.801567 -117.880680,-70.952403 37.356698,-38.583734 44.937627,-5.822346 47.433768,27.029160 49.628848,59.678774 53.941654,85.637380 172.687905,54.708449 -137.272713
74.423956 64.700962,42.032051 74.440207,9.237352 77.090767,-23.601501 79.240630,-56.200097 83.037646,-86.246268 150.192073,-58.447546 -108.175219,-25.875903 -104.065512,6.954995 -101.888735,39.762100 -99.341520,72.213165 -91.077843,63.723388 100.392262,31.123153 105.508532,-1.718822 107.781477,-34.507007 110.139500,-66.954878 116.132980,-79.672528 -92.410963,-47.635558 -76.260682,-14.948097 -73.283390,17.907952 -71.167429,50.643337 -67.950153,82.526493 -43.834532,52.904731 132.926856,20.188293 136.355426,-12.668800 138.479871,-45.376554 141.309222,-77.534413 154.117879,-69.180962 -51.798610,-36.774622 -45.006873,-4.000834 -42.576884,28.847005 -40.350791,61.475767 -35.714559,84.405983 97.963718,42.032051 164.440207,9.237352 167.090767,-23.601501 169.240630,-56.200097 173.037646,-86.246268 -119.807927,-58.447546 -18.175219,-25.875903 -14.065512,6.954995 -11.888735,39.762100 -9.341520,72.213165 -1.077843,74.423956 154.700962,31.123153 -164.491468,-1.718822 -162.218523,-34.507007 -159.860500,-66.954878 -153.867020,-79.672528 -2.410963,-47.635558 13.739318,-14.948097 16.716610,17.907952 18.832571,50.643337 22.049847,82.526493 46.165468,63.723388 -169.607738,20.188293 -133.644574,-12.668800 -131.520129,-45.376554 -128.690778,-77.534413 -115.882121,-69.180962 38.201390,-36.774622 44.993127,-4.000834 47.423116,28.847005 49.649209,61.475767 54.285441,84.405983 -172.036282,52.904731 -137.073144
