-0.121097 -95.055183,71.724889 -84.124373,35.990539 82.347443,-36.185226 87.576043,-71.797342 -106.018114,23.972333 -63.453144,83.037005 84.129195,11.930439 114.194819,-60.019052 121.179640,-48.132352 -69.051465,47.972066 -31.066285,59.900058 138.755107,-12.167161 145.725464,-83.058381 175.882403,-24.192933 -36.658643,71.724889 5.875627,35.990539 172.347443,-36.185226 177.576043,-71.797342 -16.018114,-0.121097 -5.055183,83.037005 174.129195,11.930439 -155.805181,-60.019052 -148.820360,-48.132352 20.948535,23.972333 26.546856,59.900058 -131.244893,-12.167161 -124.274536,-83.058381 -94.117597,-24.192933 53.341357,47.972066 58.933715
19.917105 -95.128788,85.923834 22.154743,15.989454 82.544547,-56.022443 88.899833,-52.145152 -101.046238,43.940137 -62.970743,63.900755 106.232908,-8.110102 114.082921,-79.420749 133.147958,-28.237765 -68.353913,67.759819 -27.625158,40.032165 140.558642,-32.149205 145.826006,-75.708207 -50.648395,-4.181080 -36.690119,85.923834 112.154743,15.989454 172.544547,-56.022443 178.899833,-52.145152 -11.046238,19.917105 -5.128788,63.900755 -163.767092,-8.110102 -155.917079,-79.420749 -136.852042,-28.237765 21.646087,43.940137 27.029257,40.032165 -129.441358,-32.149205 -124.173994,-75.708207 39.351605,-4.181080 53.309881,67.759819 62.374842
21.737117 -95.123854,84.812592 39.872392,14.168217 82.541326,-57.817052 89.153318,-50.345356 -100.883296,45.750073 -62.870416,62.107012 106.656906,-9.930886 114.074257,-81.092428 136.979233,-26.423221 -68.335428,69.542418 -26.896470,38.219102 140.621969,-33.960902 145.862066,-73.959633 -49.125030,-2.359351 -36.701229,84.812592 129.872392,14.168217 172.541326,-57.817052 179.153318,-50.345356 -10.883296,21.737117 -5.123854,62.107012 -163.343094,-9.930886 -155.925743,-81.092428 -133.020767,-26.423221 21.664572,45.750073 27.129584,38.219102 -129.378031,-33.960902 -124.137934,-73.959633 40.874970,-2.359351 53.298771,69.542418 63.103530
23.556641 -95.115602,83.387493 50.650181,12.346695 82.536173,-59.609718 89.446331,-48.544129 -100.741318,47.558906 -62.755037,60.310806 107.019621,-11.751263 114.066878,-82.703268 142.577700,-24.607858 -68.321354,71.319678 -26.012781,36.405151 140.676169,-35.771616 145.905087,-72.200490 -47.918743,-0.537431 -36.712627,83.387493 140.650181,12.346695 172.536173,-59.609718 179.446331,-48.544129 -10.741318,23.556641 -5.115602,60.310806 -162.980379,-11.751263 -155.933122,-82.703268 -127.422300,-24.607858 21.678646,47.558906 27.244963,36.405151 -129.323831,-35.771616 -124.094913,-72.200490 42.081257,-0.537431 53.287373,71.319678 63.987219
25.375632 -95.103625,81.810693 57.420758,10.524939 82.529367,-61.400229 89.786326,-46.741544 -100.617628,49.366569 -62.622521,58.512449 107.331534,-13.571185 114.061043,-84.202570 151.245545,-22.791716 -68.311227,73.090077 -24.925848,34.590354 140.722222,-37.581310 145.955885,-70.433481 -46.945196,1.284627 -36.724084,81.810693 147.420758,10.524939 172.529367,-61.400229 179.786326,-46.741544 -10.617628,25.375632 -5.103625,58.512449 -162.668466,-13.571185 -155.938957,-84.202570 -118.754455,-22.791716 21.688773,49.366569 27.377479,34.590354 -129.277778,-37.581310 -124.044115,-70.433481 43.054804,1.284627 53.275916,73.090077 65.074152
27.194043 -95.087478,80.154707 61.933782,8.703000 82.521176,-63.188316 90.182716,-44.937663 -100.509970,51.172988 -62.470406,56.712183 107.600893,-15.390602 114.057029,-85.478219 165.376258,-20.974838 -68.304621,74.851379 -23.565585,32.774756 140.760988,-39.389945 146.015387,-68.660411 -46.147221,3.106769 -36.735374,80.154707 151.933782,8.703000 172.521176,-63.188316 -179.817284,-44.937663 -10.509970,27.194043 -5.087478,56.712183 -162.399107,-15.390602 -155.942971,-85.478219 -104.623742,-20.974838 21.695379,51.172988 27.529594,32.774756 -129.239012,-39.389945 -123.984613,-68.660411 43.852779,3.106769 53.264626,74.851379 66.434415
29.011830 -95.066674,78.453443 65.107823,6.880930 82.511855,-64.973624 90.647563,-43.132543 -100.416427,52.978078 -62.295758,54.910197 107.834276,-17.209466 114.055124,-86.291925 -172.129627,-19.157267 -68.301148,76.600171 -21.826485,30.958401 140.793231,-41.197480 146.084650,-66.882529 -45.484783,4.928943 -36.746265,78.453443 155.107823,6.880930 172.511855,-64.973624 -179.352437,-43.132543 -10.416427,29.011830 -5.066674,54.910197 -162.165724,-17.209466 -155.944876,-86.291925 -82.129627,-19.157267 21.698852,52.978078 27.704242,30.958401 -129.206769,-41.197480 -123.915350,-66.882529 44.515217,4.928943 53.253735,76.600171 68.173515
30.828949 -95.040670,76.724177 67.438877,5.058781 82.501647,-66.755688 91.196569,-41.326233 -100.335361,54.781735 -62.095052,53.106646 108.036992,-19.027731 114.055638,-86.323120 -144.037812,-17.339047 -68.300449,78.331007 -19.542950,29.141331 140.819627,-43.003874 146.164884,-65.100719 -44.929057,6.751095 -36.756526,76.724177 157.438877,5.058781 172.501647,-66.755688 -178.803431,-41.326233 -10.335361,30.828949 -5.040670,53.106646 -161.963008,-19.027731 -155.944362,-86.323120 -54.037812,-17.339047 21.699551,54.781735 27.904948,29.141331 -129.180373,-43.003874 -123.835116,-65.100719 45.070943,6.751095 53.243474,78.331007 70.457050
32.645357 -95.008865,74.976453 69.210366,3.236607 82.490793,-68.533876 91.850556,-39.518778 -100.265359,56.583837 -61.864016,51.301655 108.213373,-20.845350 114.058902,-85.555300 -120.923417,-15.520224 -68.302192,80.034713 -16.442036,27.323590 140.840784,-44.809080 146.257486,-63.315625 -44.458784,8.573172 -36.765919,74.976453 159.210366,3.236607 172.490793,-68.533876 -178.149444,-39.518778 -10.265359,32.645357 -5.008865,51.301655 -161.786627,-20.845350 -155.941098,-85.555300 -30.923417,-15.520224 21.697808,56.583837 28.135984,27.323590 -129.159216,-44.809080 -123.742514,-63.315625 45.541216,8.573172 53.234081,80.034713 73.557964
34.461010 -94.970588,73.215911 70.593598,1.414461 82.479525,-70.307324 92.637708,-37.710220 -100.205198,58.384232 -61.597421,49.495327 108.366990,-22.662279 114.065272,-84.302789 -106.280589,-13.700845 -68.306066,81.694771 -12.048059,25.505222 140.857245,-46.613051 146.364079,-61.527723 -44.057951,10.395122 -36.774199,73.215911 160.593598,1.414461 172.479525,-70.307324 -177.362292,-37.710220 -10.205198,34.461010 -4.970588,49.495327 -161.633010,-22.662279 -155.934728,-84.302789 -16.280589,-13.700845 21.693934,58.384232 28.402579,25.505222 -129.142755,-46.613051 -123.635921,-61.527723 45.942049,10.395122 53.225801,81.694771 77.951941
36.275865 -94.925082,71.446076 71.697364,-0.407604 82.468072,-72.074817 93.597100,-35.900600 -100.153811,60.182733 -61.288790,47.687750 108.500816,-24.478474 114.075135,-82.814644 -97.318258,-11.880957 -68.311780,83.278956 -5.483314,23.686271 140.869504,-48.415730 146.486556,-59.737374 -43.714276,12.216893 -36.781111,71.446076 161.697364,-0.407604 172.468072,-72.074817 -176.402900,-35.900600 -10.153811,36.275865 -4.925082,47.687750 -161.499184,-24.478474 -155.924865,-82.814644 -7.318258,-11.880957 21.688220,60.182733 28.711210,23.686271 -129.130496,-48.415730 -123.513444,-59.737374 46.285724,12.216893 53.218889,83.278956 84.516686
38.089878 -94.871493,69.669248 72.593736,-2.229536 82.456662,-73.834596 94.784410,-34.089957 -100.110265,61.979101 -60.930013,45.878999 108.617344,-26.293895 114.088913,-81.209622 -91.554145,-10.060610 -68.319058,84.718749 4.924886,21.866783 140.878008,-50.217057 146.627148,-57.944854 -43.418182,14.038434 -36.786392,69.669248 162.593736,-2.229536 172.456662,-73.834596 -175.215590,-34.089957 -10.110265,38.089878 -4.871493,45.878999 -161.382656,-26.293895 -155.911087,-81.209622 -1.554145,-10.060610 21.680942,61.979101 29.069987,21.866783 -129.121992,-50.217057 -123.372852,-57.944854 46.581818,14.038434 53.213608,84.718749 94.924886
39.903006 -94.808851,67.886990 73.332202,-4.051280 82.445524,-75.584041 96.281575,-32.278329 -100.073733,63.773031 -60.510787,44.069139 108.718681,-28.108498 114.107067,-79.541266 -87.624744,-8.239854 -68.327639,85.860816 22.041419,20.046805 140.883166,-52.016957 146.788497,-56.150378 -43.162093,15.859692 -36.789760,67.886990 163.332202,-4.051280 172.445524,-75.584041 -173.718425,-32.278329 -10.073733,39.903006 -4.808851,44.069139 -161.281319,-28.108498 -155.892933,-79.541266 2.375256,-8.239854 21.672361,63.773031 29.489213,20.046805 -129.116834,-52.016957 -123.211503,-56.150378 46.837907,15.859692 53.210240,85.860816 112.041419
41.715201 -94.736049,66.100393 73.947806,-5.872785 82.434888,-77.319080 98.213799,-30.465755 -100.043487,65.564127 -60.017836,42.258229 108.806623,-29.922245 114.130108,-77.835472 -84.810255,-6.418739 -68.337270,86.409015 47.738387,18.226382 140.885353,-53.815345 146.973761,-54.354114 -42.939940,17.680619 -36.790919,66.100393 163.947806,-5.872785 172.434888,-77.319080 -171.786201,-30.465755 -10.043487,41.715201 -4.736049,42.258229 -161.193377,-29.922245 -155.869892,-77.835472 5.189745,-6.418739 21.662730,65.564127 29.982164,18.226382 -129.114647,-53.815345 -123.026239,-54.354114 47.060060,17.680619 53.209081,86.409015 137.738387
43.526414 -94.651811,64.310243 74.466021,-7.693998 82.424989,-79.033093 100.781071,-28.652273 -100.018873,67.351860 -59.433755,40.446323 108.882712,-31.735095 114.158601,-76.105880 -82.713286,-4.597316 -68.347710,86.104078 75.176595,16.405565 140.884916,-55.612116 147.186746,-52.556199 -42.746799,19.501165 -36.789554,64.310243 164.466021,-7.693998 172.424989,-79.033093 -169.218929,-28.652273 -10.018873,43.526414 -4.651811,40.446323 -161.117288,-31.735095 -155.841399,-76.105880 7.286714,-4.597316 21.652290,67.351860 30.566245,16.405565 -129.115084,-55.612116 -122.813254,-52.556199 47.253201,19.501165 53.210446,86.104078 165.176595
45.336594 -94.554664,62.517115 74.905791,-9.514867 82.416068,-80.714648 104.319725,-26.837922 -99.999310,69.135517 -58.735286,38.633471 108.948276,-33.547011 114.193176,-74.360239 -81.101459,-2.775638 -68.358722,85.102842 94.898207,14.584400 140.882178,-57.407145 147.432083,-50.756742 -42.578640,21.321282 -36.785325,62.517115 164.905791,-9.514867 172.416068,-80.714648 -165.680275,-26.837922 -9.999310,45.336594 -4.554664,38.633471 -161.051724,-33.547011 -155.806824,-74.360239 8.898541,-2.775638 21.641278,69.135517 31.264714,14.584400 -129.117822,-57.407145 -122.567917,-50.756742 47.421360,21.321282 53.214675,85.102842 -175.101793
47.145685 -94.442896,60.721442 75.281490,-11.335342 82.408372,-82.342562 109.428619,-25.022742 -99.984271,70.914111 -57.890664,36.819718 109.004471,-35.357953 114.234537,-72.603231 -79.831416,-0.953757 -68.370074,83.730406 106.967731,12.762939 140.877441,-59.200271 147.715467,-48.955835 -42.432124,23.140922 -36.777866,60.721442 165.281490,-11.335342 172.408372,-82.342562 -160.571381,-25.022742 -9.984271,47.145685 -4.442896,36.819718 -160.995529,-35.357953 -155.765463,-72.603231 10.168584,-0.953757 21.629926,70.914111 32.109336,12.762939 -129.122559,-59.200271 -122.284533,-48.955835 47.567876,23.140922 53.222134,83.730406 -163.032269
48.953621 -94.314498,58.923553 75.604214,-13.155372 82.402161,-83.874157 117.231106,-23.206775 -99.973281,72.686244 -56.855399,35.005111 109.052305,-37.167884 114.283481,-70.837834 -78.810508,0.868274 -68.381538,82.179736 114.458628,10.941232 140.870989,-60.991297 148.043977,-47.153554 -42.304468,24.960038 -36.766777,58.923553 165.604214,-13.155372 172.402161,-83.874157 -152.768894,-23.206775 -9.973281,48.953621 -4.314498,35.005111 -160.947695,-37.167884 -155.716519,-70.837834 11.189492,0.868274 21.618462,72.686244 33.144601,10.941232 -129.129011,-60.991297 -121.956023,-47.153554 47.695532,24.960038 53.233223,82.179736 -155.541372
50.760332 -94.167102,57.123705 75.882665,-14.974909 82.397706,-85.216240 129.836200,-21.390061 -99.965906,74.449873 -55.565323,33.189692 109.092666,-38.976764 114.340906,-69.066024 -77.976445,2.690401 -68.392886,80.537957 119.384784,9.119330 140.863091,-62.779965 148.426526,-45.349965 -42.193327,26.778586 -36.751625,57.123705 165.882665,-14.974909 172.397706,-85.216240 -140.163800,-21.390061 -9.965906,50.760332 -4.167102,33.189692 -160.907334,-38.976764 -155.659094,-69.066024 12.023555,2.690401 21.607114,74.449873 34.434677,9.119330 -129.136909,-62.779965 -121.573474,-45.349965 47.806673,26.778586 53.248375,80.537957 -150.615216
52.565734 -93.997889,55.322097 76.123760,-16.793903 82.395293,-86.164633 150.292586,-19.572644 -99.961750,76.201911 -53.924675,31.373506 109.126336,-40.784554 114.407837,-67.289152 -77.285911,4.512572 -68.403889,78.845114 122.810282,7.297285 140.854006,-64.565945 148.874497,-43.545123 -42.096712,28.596519 -36.731930,55.322097 166.123760,-16.793903 172.395293,-86.164633 -119.707414,-19.572644 -9.961750,52.565734 -3.997889,31.373506 -160.873664,-40.784554 -155.592163,-67.289152 12.714089,4.512572 21.596111,76.201911 36.075325,7.297285 -129.145994,-64.565945 -121.125503,-43.545123 47.903288,28.596519 53.268070,78.845114 -147.189718
54.369728 -93.803484,53.518892 76.333070,-18.612309 82.395226,-86.394153 177.951161,-17.754568 -99.960447,77.937485 -51.784669,29.556596 109.154013,-42.591212 114.485448,-65.508176 -76.707904,6.334734 -68.414314,77.121209 125.303433,5.475150 140.843980,-66.348798 149.402651,-41.739081 -42.012927,30.413795 -36.707165,53.518892 166.333070,-18.612309 172.395226,-86.394153 -92.048839,-17.754568 -9.960447,54.369728 -3.803484,29.556596 -160.845987,-42.591212 -155.514552,-65.508176 13.292096,6.334734 21.585686,77.937485 38.215331,5.475150 -129.156020,-66.348798 -120.597349,-41.739081 47.987073,30.413795 53.292835,77.121209 -144.696567
56.172198 -93.579802,51.714220 76.515129,-20.430079 82.397831,-85.785685 -157.068345,-15.935879 -99.961660,79.648496 -48.902953,27.739004 109.176317,-44.396694 114.575090,-63.723785 -76.219677,8.156833 -68.423927,75.377102 127.184670,3.652977 140.833253,-68.127938 150.030476,-39.931883 -41.940511,32.230369 -36.676743,51.714220 166.515129,-20.430079 172.397831,-85.785685 -67.068345,-15.935879 -9.961660,56.172198 -3.579802,27.739004 -160.823683,-44.396694 -155.424910,-63.723785 13.780323,8.156833 21.576073,79.648496 41.097047,3.652977 -129.166747,-68.127938 -119.969524,-39.931883 48.059489,32.230369 53.323257,75.377102 -142.815330
57.972998 -93.321852,49.908189 76.673667,-22.247170 82.403458,-84.616182 -140.670025,-14.116623 -99.965074,81.320597 -44.862706,25.920776 109.193806,-46.200952 114.678330,-61.936489 -75.804175,9.978817 -68.432483,73.619121 128.645302,1.830820 140.822059,-69.902562 150.784221,-38.123574 -41.878200,34.046198 -36.640008,49.908189 166.673667,-22.247170 172.403458,-84.616182 -50.670025,-14.116623 -9.965074,57.972998 -3.321852,25.920776 -160.806194,-46.200952 -155.321670,-61.936489 14.195825,9.978817 21.567517,81.320597 45.137294,1.830820 -129.177941,-69.902562 -119.215779,-38.123574 48.121800,34.046198 53.359992,73.619121 -141.354698
59.771950 -93.023475,48.100891 76.811780,-24.063537 82.412487,-83.167836 -130.675851,-12.296847 -99.970392,82.926338 -38.904315,24.101954 109.206984,-48.003932 114.796994,-60.146673 -75.448368,11.800634 -68.439731,71.851172 129.805532,0.008731 140.810628,-71.671547 151.700065,-36.314193 -41.824896,35.861240 -36.596225,48.100891 166.811780,-24.063537 172.412487,-83.167836 -40.675851,-12.296847 -9.970392,59.771950 -3.023475,24.101954 -160.793016,-48.003932 -155.203006,-60.146673 14.551632,11.800634 21.560269,82.926338 51.095685,0.008731 -129.189372,-71.671547 -118.299935,-36.314193 48.175104,35.861240 53.403775,71.851172 -140.194468
61.568829 -92.676975,46.292402 76.932061,-25.879138 82.425331,-81.583279 -124.333835,-10.476601 -99.977336,84.408454 -29.582976,22.282585 109.216309,-49.805573 114.933231,-58.354628 -75.142133,13.622231 -68.445408,70.075783 130.744278,-1.813236 140.799188,-73.433282 152.829225,-34.503780 -41.779634,37.675449 -36.544564,46.292402 166.932061,-25.879138 172.425331,-81.583279 -34.333835,-10.476601 -9.977336,61.568829 -2.676975,22.282585 -160.783691,-49.805573 -155.066769,-58.354628 14.857867,13.622231 21.554592,84.408454 60.417024,-1.813236 -129.200812,-73.433282 -117.170775,-34.503780 48.220366,37.675449 53.455436,70.075783 -139.255722
63.363348 -92.272609,44.482790 77.036701,-27.693932 82.442442,-79.926460 -120.065176,-8.655934 -99.985642,85.639218 -14.293569,20.462714 109.222197,-51.605806 115.089579,-56.560582 -74.877485,15.443559 -68.449239,68.294655 131.515311,-3.635027 140.787968,-75.185381 154.246481,-32.692374 -41.741567,39.488783 -36.484083,44.482790 167.036701,-27.693932 172.442442,-79.926460 -30.065176,-8.655934 -9.985642,63.363348 -2.272609,20.462714 -160.777803,-51.605806 -154.910421,-56.560582 15.122515,15.443559 21.550761,85.639218 75.706431,-3.635027 -129.212032,-75.185381 -115.753519,-32.692374 48.258433,39.488783 53.515917,68.294655 -138.484689
65.155133 -91.797867,42.672115 77.127560,-29.507878 82.464319,-78.227716 -117.039244,-6.834896 -99.995055,86.354630 9.618148,18.642389 109.225031,-53.404548 115.269068,-54.764714 -74.648048,17.264566 -68.450930,66.508972 132.156457,-5.456591 140.777197,-76.924180 156.065060,-30.880013 -41.709944,41.301195 -36.413708,42.672115 167.127560,-29.507878 172.464319,-78.227716 -27.039244,-6.834896 -9.995055,65.155133 -1.797867,18.642389 -160.774969,-53.404548 -154.730932,-54.764714 15.351952,17.264566 21.549070,86.354630 99.618148,-5.456591 -129.222803,-76.924180 -113.934940,-30.880013 48.290056,41.301195 53.586292,66.508972 -137.843543
66.943690 -91.236414,40.860433 77.206233,-31.320936 82.491513,-76.502727 -114.803160,-5.013539 -100.005331,86.247432 37.736629,16.821657 109.225164,-55.201699 115.475344,-52.967165 -74.448662,19.085203 -68.450171,64.719576 132.695057,-7.277875 140.767109,-78.643779 158.463890,-29.066735 -41.684098,43.112637 -36.332205,40.860433 167.206233,-31.320936 172.491513,-76.502727 -24.803160,-5.013539 -10.005331,66.943690 -1.236414,16.821657 -160.774836,-55.201699 -154.524656,-52.967165 15.551338,19.085203 21.549829,86.247432 127.736629,-7.277875 -129.232891,-78.643779 -111.536110,-29.066735 48.315902,43.112637 53.667795,64.719576 -137.304943
68.728353 -90.566522,39.047792 77.274094,-33.133069 82.524639,-74.760258 -113.095534,-3.191915 -100.016232,85.374460 59.518510,15.000568 109.222925,-56.997139 115.712829,-51.168052 -74.275111,20.905422 -68.446628,62.927086 133.151344,-9.098828 140.757942,-80.334147 161.740174,-27.252579 -41.663429,44.923059 -36.238150,39.047792 167.274094,-33.133069 172.524639,-74.760258 -23.095534,-3.191915 -10.016232,68.728353 -0.566522,15.000568 -160.777075,-56.997139 -154.287171,-51.168052 15.724889,20.905422 21.553372,85.374460 149.518510,-9.098828 -129.242058,-80.334147 -108.259826,-27.252579 48.336571,44.923059 53.761850,62.927086 -136.848656
70.508210 -89.758672,37.234241 77.332336,-34.944237 82.564383,-73.005538 -111.756976,-1.370076 -100.027527,84.064433 73.052263,13.179170 109.218619,-58.790716 115.986952,-49.367470 -74.123914,22.725175 -68.439940,61.131963 133.540604,-10.919397 140.749944,-81.977015 166.416137,-25.437585 -41.647400,46.732403 -36.129889,37.234241 167.332336,-34.944237 172.564383,-73.005538 -21.756976,-1.370076 -10.027527,70.508210 0.241328,13.179170 -160.781381,-58.790716 -154.013048,-49.367470 15.876086,22.725175 21.560060,84.064433 163.052263,-10.919397 -129.250056,-81.977015 -103.583863,-25.437585 48.352600,46.732403 53.870111,61.131963 -136.459396
72.281971 -88.771770,35.419825 77.381999,-36.754402 82.611519,-71.241856 -110.685499,0.451926 -100.038986,82.544198 81.366434,11.357514 109.212535,-60.582242 116.304439,-47.565497 -73.992169,24.544415 -68.429718,59.334556 133.874590,-12.739533 140.743371,-83.536297 173.461508,-23.621794 -41.635524,48.540609 -36.005485,35.419825 167.381999,-36.754402 172.611519,-71.241856 -20.685499,0.451926 -10.038986,72.281971 1.228230,11.357514 -160.787465,-60.582242 -153.695561,-47.565497 16.007831,24.544415 21.570282,82.544198 171.366434,-12.739533 -129.256629,-83.536297 -96.538492,-23.621794 48.364476,48.540609 53.994515,59.334556 -136.125410
